index:ID,name,sex,age,code,job,:LABEL
100001,黄忠民,男,55岁,600961,"董事长,董事",高管
100002,刘朗明,男,51岁,600961,董事,高管
100003,刘文德,男,54岁,600961,董事,高管
100004,李雄姿,男,54岁,600961,董事,高管
100005,王庆,男,40岁,600961,董事,高管
100006,樊行健,男,74岁,600961,独立董事,高管
100007,胡晓东,女,55岁,600961,独立董事,高管
100008,虞晓锋,男,53岁,600961,独立董事,高管
100009,朱兴明,男,51岁,300124,"董事长,董事",高管
100010,宋君恩,男,46岁,300124,董事,高管
100011,李俊田,男,43岁,300124,董事,高管
100012,周斌,男,42岁,300124,董事,高管
100013,王伟,男,38岁,300124,董事,高管
100014,刘宇川,男,44岁,300124,董事,高管
100015,龚茵,女,51岁,300124,独立董事,高管
100016,赵争鸣,男,59岁,300124,独立董事,高管
100017,曲建,男,52岁,300124,独立董事,高管
100018,祝方猛,男,46岁,000739,"董事长,董事",高管
100019,徐文财,男,52岁,000739,董事,高管
100020,胡天高,男,53岁,000739,董事,高管
100021,吴兴,男,46岁,000739,董事,高管
100022,张淼洪,男,68岁,000739,独立董事,高管
100023,姚明龙,男,55岁,000739,独立董事,高管
100024,张爱珠,女,53岁,000739,独立董事,高管
100025,丁洁民,男,61岁,600846,"董事长,董事",高管
100026,张晔,男,57岁,600846,董事,高管
100027,高国武,男,50岁,600846,董事,高管
100028,王明忠,男,56岁,600846,董事,高管
100029,张驰,男,60岁,600846,独立董事,高管
100030,储一昀,男,54岁,600846,独立董事,高管
100031,孙益功,男,45岁,600846,独立董事,高管
100032,余德辉,男,58岁,601600,"董事长,非执行董事",高管
100033,卢东亮,男,45岁,601600,执行董事,高管
100034,蒋英刚,男,55岁,601600,执行董事,高管
100035,敖宏,男,57岁,601600,非执行董事,高管
100036,王军,男,53岁,601600,非执行董事,高管
100037,李大壮,男,58岁,601600,独立非执行董事,高管
100038,陈丽洁,女,63岁,601600,独立非执行董事,高管
100039,胡式海,男,63岁,601600,独立非执行董事,高管
100040,柯宗庆,男,62岁,300297,"董事长,董事",高管
100041,柯宗贵,男,49岁,300297,"副董事长,董事",高管
100042,黄泽华,男,49岁,300297,董事,高管
100043,谭晓燕,女,43岁,300297,董事,高管
100044,赵庆伦,男,61岁,300297,董事,高管
100045,黎奇,男,45岁,300297,独立董事,高管
100046,周涛,男,63岁,300297,独立董事,高管
100047,王丹舟,女,54岁,300297,独立董事,高管
100048,陈哲元,男,47岁,600306,"董事长,董事",高管
100049,钟静,女,45岁,600306,董事,高管
100050,刘俊杰,男,53岁,600306,董事,高管
100051,吕晓清,女,37岁,600306,董事,高管
100052,王斌,男,52岁,600306,董事,高管
100053,钟鹏翼,男,62岁,600306,董事,高管
100054,彭时代,男,63岁,600306,独立董事,高管
100055,黄益建,男,39岁,600306,独立董事,高管
100056,孙庆峰,男,50岁,600306,独立董事,高管
100057,郭鸿宝,男,49岁,300116,"董事长,董事",高管
100058,李瑶,男,45岁,300116,董事,高管
100059,李先军,男,48岁,300116,董事,高管
100060,李成,男,62岁,300116,独立董事,高管
100061,李玉萍,女,54岁,300116,独立董事,高管
100062,刘成彦,男,54岁,300017,"董事长,董事",高管
100063,洪珂,男,51岁,300017,"副董事长,董事",高管
100064,周丽萍,女,42岁,300017,董事,高管
100065,颜永春,男,50岁,300017,董事,高管
100066,王蔚松,男,59岁,300017,独立董事,高管
100067,黄斯颖,女,40岁,300017,独立董事,高管
100068,李智平,男,62岁,300017,独立董事,高管
100069,潘丽春,女,50岁,000925,"董事长,董事",高管
100070,陈均,男,63岁,000925,"副董事长,董事",高管
100071,赵勤,男,50岁,000925,董事,高管
100072,楼洪海,男,48岁,000925,董事,高管
100073,赵建,男,52岁,000925,董事,高管
100074,史烈,男,54岁,000925,董事,高管
100075,唐新亮,男,46岁,000925,董事,高管
100076,韩斌,男,52岁,000925,独立董事,高管
100077,姚先国,男,65岁,000925,独立董事,高管
100078,钱明星,男,55岁,000925,独立董事,高管
100079,宋航,男,40岁,000925,独立董事,高管
100080,郭满金,男,70岁,600885,"董事长,董事",高管
100081,刘圳田,男,50岁,600885,董事,高管
100082,陈龙,男,63岁,600885,董事,高管
100083,丁云光,男,56岁,600885,董事,高管
100084,李明,男,53岁,600885,董事,高管
100085,曾智斌,男,44岁,600885,董事,高管
100086,董云庭,男,73岁,600885,独立董事,高管
100087,蒋悟真,男,46岁,600885,独立董事,高管
100088,蔡宁,女,41岁,600885,独立董事,高管
100089,徐金富,男,54岁,002709,"董事长,董事",高管
100090,禤达燕,女,36岁,002709,董事,高管
100091,顾斌,男,53岁,002709,董事,高管
100092,徐三善,男,49岁,002709,董事,高管
100093,陈汛武,男,55岁,002709,董事,高管
100094,贺春海,男,47岁,002709,独立董事,高管
100095,容敏智,男,57岁,002709,独立董事,高管
100096,赵建青,男,53岁,002709,独立董事,高管
100097,吴琪,女,49岁,002709,独立董事,高管
100098,刘著平,男,52岁,000547,"董事长,董事",高管
100099,王勇,男,48岁,000547,董事,高管
100100,章高路,男,42岁,000547,董事,高管
100101,朱弘,男,55岁,000547,董事,高管
100102,李轶涛,男,45岁,000547,董事,高管
100103,任真,女,67岁,000547,独立董事,高管
100104,杨雄,男,52岁,000547,独立董事,高管
100105,马玲,女,47岁,000547,独立董事,高管
100106,吴云天,男,59岁,600125,"董事长,董事",高管
100107,张永庆,男,57岁,600125,"副董事长,董事",高管
100108,辛明,男,47岁,600125,董事,高管
100109,吴琼,男,54岁,600125,董事,高管
100110,吴永奇,男,55岁,600125,董事,高管
100111,白慧涛,男,55岁,600125,董事,高管
100112,姜超峰,男,68岁,600125,独立董事,高管
100113,李延喜,男,48岁,600125,独立董事,高管
100114,庄炜,女,48岁,600125,独立董事,高管
100115,孙进峰,男,32岁,002443,"董事长,董事",高管
100116,封堃,男,34岁,002443,"副董事长,董事",高管
100117,沈淦荣,男,56岁,002443,董事,高管
100118,蔡超,男,34岁,002443,董事,高管
100119,顾苏民,男,56岁,002443,董事,高管
100120,马原,男,36岁,002443,董事,高管
100121,高闯,男,65岁,002443,独立董事,高管
100122,李怀奇,男,69岁,002443,独立董事,高管
100123,梁飞媛,女,53岁,002443,独立董事,高管
100124,崔红松,男,49岁,600595,"董事长,董事",高管
100125,张松江,男,54岁,600595,董事,高管
100126,马文超,男,48岁,600595,董事,高管
100127,司兴华,男,43岁,600595,董事,高管
100128,薄光利,男,52岁,600595,董事,高管
100129,贺怀钦,男,55岁,600595,董事,高管
100130,彭雪峰,男,56岁,600595,独立董事,高管
100131,吴溪,男,41岁,600595,独立董事,高管
100132,梁亮,男,39岁,600595,独立董事,高管
100133,王剑峰,男,48岁,600699,"董事长,董事",高管
100134,范金洪,男,55岁,600699,"副董事长,董事",高管
100135,喻凯,男,36岁,600699,董事,高管
100136,唐宇新,男,51岁,600699,董事,高管
100137,刘玉达,男,44岁,600699,董事,高管
100138,Christoph Hummel,男,52岁,600699,董事,高管
100139,朱天,男,54岁,600699,独立董事,高管
100140,魏云珠,女,49岁,600699,独立董事,高管
100141,赵大东,男,65岁,600699,独立董事,高管
100142,臧卫东,男,52岁,002106,"董事长,董事",高管
100143,李绍宗,男,54岁,002106,董事,高管
100144,王行村,男,41岁,002106,董事,高管
100145,梁新辉,男,45岁,002106,董事,高管
100146,廖林,男,52岁,002106,董事,高管
100147,陈振龙,男,57岁,002106,董事,高管
100148,赖德明,男,53岁,002106,董事,高管
100149,侯挺,男,48岁,002106,董事,高管
100150,张百哲,男,75岁,002106,独立董事,高管
100151,熊楚熊,男,63岁,002106,独立董事,高管
100152,蒋大兴,男,47岁,002106,独立董事,高管
100153,杜文君,女,50岁,002106,独立董事,高管
100154,林文卿,女,55岁,300093,"代董事长,董事",高管
100155,罗嘉贤,女,33岁,300093,董事,高管
100156,庄毓新,男,47岁,300093,董事,高管
100157,梁艳媚,女,35岁,300093,董事,高管
100158,陈小卫,男,52岁,300093,独立董事,高管
100159,蔡祥,男,45岁,300093,独立董事,高管
100160,肖蔚红,女,42岁,300093,独立董事,高管
100161,陈伟英,女,63岁,300093,独立董事,高管
100162,李银会,男,52岁,002646,"董事长,董事",高管
100163,郭守明,男,55岁,002646,"副董事长,董事",高管
100164,王兆三,男,46岁,002646,董事,高管
100165,王君,男,53岁,002646,董事,高管
100166,王鸿,男,52岁,002646,董事,高管
100167,张劭,男,41岁,002646,董事,高管
100168,王德良,男,46岁,002646,独立董事,高管
100169,吴非,男,35岁,002646,独立董事,高管
100170,方文彬,男,53岁,002646,独立董事,高管
100171,程仁策,男,55岁,600219,"董事长,董事",高管
100172,宋昌明,男,38岁,600219,董事,高管
100173,吕正风,男,53岁,600219,董事,高管
100174,刘强,男,50岁,600219,董事,高管
100175,刘春雷,男,41岁,600219,董事,高管
100176,宋建波,男,48岁,600219,董事,高管
100177,刘嘉厚,男,64岁,600219,独立董事,高管
100178,张焕平,男,60岁,600219,独立董事,高管
100179,黄利群,女,52岁,600219,独立董事,高管
100180,李建国,男,56岁,000766,"董事长,董事",高管
100181,黄德龙,男,40岁,000766,"副董事长,董事",高管
100182,姬彦锋,男,53岁,000766,董事,高管
100183,于军,男,47岁,000766,董事,高管
100184,刘立成,男,65岁,000766,董事,高管
100185,昝宝石,男,57岁,000766,董事,高管
100186,郝娜,女,40岁,000766,独立董事,高管
100187,赵微,女,41岁,000766,独立董事,高管
100188,陈启斌,男,64岁,000766,独立董事,高管
100189,林道藩,男,57岁,603268,"董事长,董事",高管
100190,曾文光,男,50岁,603268,董事,高管
100191,林秋兰,女,33岁,603268,董事,高管
100192,游沙,男,31岁,603268,董事,高管
100193,王丰,男,41岁,603268,独立董事,高管
100194,陈军,男,51岁,603268,独立董事,高管
100195,徐俊雄,男,45岁,603268,独立董事,高管
100196,傅宇晨,男,55岁,300112,"董事长,董事",高管
100197,傅晓阳,男,47岁,300112,董事,高管
100198,钟怡泰,男,59岁,300112,董事,高管
100199,熊伟,男,52岁,300112,董事,高管
100200,王岩,男,61岁,300112,独立董事,高管
100201,李石芳,男,52岁,300112,独立董事,高管
100202,胡琴,女,51岁,300112,独立董事,高管
100203,李占明,男,56岁,300263,"董事长,董事",高管
100204,孙建科,男,56岁,300263,"副董事长,董事",高管
100205,杨媛,女,49岁,300263,董事,高管
100206,李明强,男,45岁,300263,董事,高管
100207,刘岩,男,54岁,300263,董事,高管
100208,李占强,男,47岁,300263,董事,高管
100209,席升阳,男,64岁,300263,独立董事,高管
100210,张莉,女,48岁,300263,独立董事,高管
100211,张霞,女,50岁,300263,独立董事,高管
100212,王来春,女,51岁,002475,"董事长,董事",高管
100213,王来胜,男,54岁,002475,"副董事长,董事",高管
100214,叶怡伶,女,47岁,002475,董事,高管
100215,李斌,男,41岁,002475,董事,高管
100216,许怀斌,男,nan,002475,独立董事,高管
100217,张英,女,55岁,002475,独立董事,高管
100218,林一飞,男,43岁,002475,独立董事,高管
100219,郭辉,男,48岁,600207,"董事长,董事",高管
100220,关军占,男,37岁,600207,董事,高管
100221,郭运凯,男,54岁,600207,董事,高管
100222,张仁维,男,53岁,600207,董事,高管
100223,王霆,男,42岁,600207,独立董事,高管
100224,李煦燕,女,56岁,600207,独立董事,高管
100225,海福安,男,55岁,600207,独立董事,高管
100226,刘彦龙,男,53岁,600559,"董事长,董事",高管
100227,魏志民,男,69岁,600559,"副董事长,董事",高管
100228,王占刚,男,46岁,600559,"副董事长,董事",高管
100229,刘勇,男,53岁,600559,董事,高管
100230,李玉雷,男,44岁,600559,董事,高管
100231,汤捷,男,44岁,600559,董事,高管
100232,徐志翰,男,55岁,600559,独立董事,高管
100233,肖冬光,男,62岁,600559,独立董事,高管
100234,郑元武,男,41岁,600559,独立董事,高管
100235,程涛,男,39岁,601028,"董事长,董事",高管
100236,陆国民,男,54岁,601028,董事,高管
100237,申强,男,33岁,601028,董事,高管
100238,李伟敏,男,46岁,601028,董事,高管
