:START_ID,:END_ID,relation,:TYPE
100001,203097,"董事长,董事",董事会成员
100002,203097,董事,董事会成员
100003,203097,董事,董事会成员
100004,203097,董事,董事会成员
100005,203097,董事,董事会成员
100006,203097,独立董事,董事会成员
100007,203097,独立董事,董事会成员
100008,203097,独立董事,董事会成员
100009,202796,"董事长,董事",董事会成员
100010,202796,董事,董事会成员
100011,202796,董事,董事会成员
100012,202796,董事,董事会成员
100013,202796,董事,董事会成员
100014,202796,董事,董事会成员
100015,202796,独立董事,董事会成员
100016,202796,独立董事,董事会成员
100017,202796,独立董事,董事会成员
100018,202805,"董事长,董事",董事会成员
100019,202805,董事,董事会成员
100020,202805,董事,董事会成员
100021,202805,董事,董事会成员
100022,202805,独立董事,董事会成员
100023,202805,独立董事,董事会成员
100024,202805,独立董事,董事会成员
100025,201657,"董事长,董事",董事会成员
100026,201657,董事,董事会成员
100027,201657,董事,董事会成员
100028,201657,董事,董事会成员
100029,201657,独立董事,董事会成员
100030,201657,独立董事,董事会成员
100031,201657,独立董事,董事会成员
100032,201837,"董事长,非执行董事",董事会成员
100033,201837,执行董事,董事会成员
100034,201837,执行董事,董事会成员
100035,201837,非执行董事,董事会成员
100036,201837,非执行董事,董事会成员
100037,201837,独立非执行董事,董事会成员
100038,201837,独立非执行董事,董事会成员
100039,201837,独立非执行董事,董事会成员
100040,202355,"董事长,董事",董事会成员
100041,202355,"副董事长,董事",董事会成员
100042,202355,董事,董事会成员
100043,202355,董事,董事会成员
100044,202355,董事,董事会成员
100045,202355,独立董事,董事会成员
100046,202355,独立董事,董事会成员
100047,202355,独立董事,董事会成员
100048,201699,"董事长,董事",董事会成员
100049,201699,董事,董事会成员
100050,201699,董事,董事会成员
100051,201699,董事,董事会成员
100052,201699,董事,董事会成员
100053,201699,董事,董事会成员
100054,201699,独立董事,董事会成员
100055,201699,独立董事,董事会成员
100056,201699,独立董事,董事会成员
100057,200171,"董事长,董事",董事会成员
100058,200171,董事,董事会成员
100059,200171,董事,董事会成员
100060,200171,独立董事,董事会成员
100061,200171,独立董事,董事会成员
100062,201219,"董事长,董事",董事会成员
100063,201219,"副董事长,董事",董事会成员
100064,201219,董事,董事会成员
100065,201219,董事,董事会成员
100066,201219,独立董事,董事会成员
100067,201219,独立董事,董事会成员
100068,201219,独立董事,董事会成员
100069,201907,"董事长,董事",董事会成员
100070,201907,"副董事长,董事",董事会成员
100071,201907,董事,董事会成员
100072,201907,董事,董事会成员
100073,201907,董事,董事会成员
100074,201907,董事,董事会成员
100075,201907,董事,董事会成员
100076,201907,独立董事,董事会成员
100077,201907,独立董事,董事会成员
100078,201907,独立董事,董事会成员
100079,201907,独立董事,董事会成员
100080,202587,"董事长,董事",董事会成员
100081,202587,董事,董事会成员
100082,202587,董事,董事会成员
100083,202587,董事,董事会成员
100084,202587,董事,董事会成员
100085,202587,董事,董事会成员
100086,202587,独立董事,董事会成员
100087,202587,独立董事,董事会成员
100088,202587,独立董事,董事会成员
100089,202320,"董事长,董事",董事会成员
100090,202320,董事,董事会成员
100091,202320,董事,董事会成员
100092,202320,董事,董事会成员
100093,202320,董事,董事会成员
100094,202320,独立董事,董事会成员
100095,202320,独立董事,董事会成员
100096,202320,独立董事,董事会成员
100097,202320,独立董事,董事会成员
100098,202398,"董事长,董事",董事会成员
100099,202398,董事,董事会成员
100100,202398,董事,董事会成员
100101,202398,董事,董事会成员
100102,202398,董事,董事会成员
100103,202398,独立董事,董事会成员
100104,202398,独立董事,董事会成员
100105,202398,独立董事,董事会成员
100106,202558,"董事长,董事",董事会成员
100107,202558,"副董事长,董事",董事会成员
100108,202558,董事,董事会成员
100109,202558,董事,董事会成员
100110,202558,董事,董事会成员
100111,202558,董事,董事会成员
100112,202558,独立董事,董事会成员
100113,202558,独立董事,董事会成员
100114,202558,独立董事,董事会成员
100115,200493,"董事长,董事",董事会成员
100116,200493,"副董事长,董事",董事会成员
100117,200493,董事,董事会成员
100118,200493,董事,董事会成员
100119,200493,董事,董事会成员
100120,200493,董事,董事会成员
100121,200493,独立董事,董事会成员
100122,200493,独立董事,董事会成员
100123,200493,独立董事,董事会成员
100124,202006,"董事长,董事",董事会成员
100125,202006,董事,董事会成员
100126,202006,董事,董事会成员
100127,202006,董事,董事会成员
100128,202006,董事,董事会成员
100129,202006,董事,董事会成员
100130,202006,独立董事,董事会成员
100131,202006,独立董事,董事会成员
100132,202006,独立董事,董事会成员
100133,201051,"董事长,董事",董事会成员
100134,201051,"副董事长,董事",董事会成员
100135,201051,董事,董事会成员
100136,201051,董事,董事会成员
100137,201051,董事,董事会成员
100138,201051,董事,董事会成员
100139,201051,独立董事,董事会成员
100140,201051,独立董事,董事会成员
100141,201051,独立董事,董事会成员
100142,200839,"董事长,董事",董事会成员
100143,200839,董事,董事会成员
100144,200839,董事,董事会成员
100145,200839,董事,董事会成员
100146,200839,董事,董事会成员
100147,200839,董事,董事会成员
100148,200839,董事,董事会成员
100149,200839,董事,董事会成员
100150,200839,独立董事,董事会成员
100151,200839,独立董事,董事会成员
100152,200839,独立董事,董事会成员
100153,200839,独立董事,董事会成员
100154,202465,"代董事长,董事",董事会成员
100155,202465,董事,董事会成员
100156,202465,董事,董事会成员
100157,202465,董事,董事会成员
100158,202465,独立董事,董事会成员
100159,202465,独立董事,董事会成员
100160,202465,独立董事,董事会成员
100161,202465,独立董事,董事会成员
100162,202125,"董事长,董事",董事会成员
100163,202125,"副董事长,董事",董事会成员
100164,202125,董事,董事会成员
100165,202125,董事,董事会成员
100166,202125,董事,董事会成员
100167,202125,董事,董事会成员
100168,202125,独立董事,董事会成员
100169,202125,独立董事,董事会成员
100170,202125,独立董事,董事会成员
100171,201166,"董事长,董事",董事会成员
100172,201166,董事,董事会成员
100173,201166,董事,董事会成员
100174,201166,董事,董事会成员
100175,201166,董事,董事会成员
100176,201166,董事,董事会成员
100177,201166,独立董事,董事会成员
100178,201166,独立董事,董事会成员
100179,201166,独立董事,董事会成员
100180,203232,"董事长,董事",董事会成员
100181,203232,"副董事长,董事",董事会成员
100182,203232,董事,董事会成员
100183,203232,董事,董事会成员
100184,203232,董事,董事会成员
100185,203232,董事,董事会成员
100186,203232,独立董事,董事会成员
100187,203232,独立董事,董事会成员
100188,203232,独立董事,董事会成员
100189,202744,"董事长,董事",董事会成员
100190,202744,董事,董事会成员
100191,202744,董事,董事会成员
100192,202744,董事,董事会成员
100193,202744,独立董事,董事会成员
100194,202744,独立董事,董事会成员
100195,202744,独立董事,董事会成员
100196,202784,"董事长,董事",董事会成员
100197,202784,董事,董事会成员
100198,202784,董事,董事会成员
100199,202784,董事,董事会成员
100200,202784,独立董事,董事会成员
100201,202784,独立董事,董事会成员
100202,202784,独立董事,董事会成员
100203,202304,"董事长,董事",董事会成员
100204,202304,"副董事长,董事",董事会成员
100205,202304,董事,董事会成员
100206,202304,董事,董事会成员
100207,202304,董事,董事会成员
100208,202304,董事,董事会成员
100209,202304,独立董事,董事会成员
100210,202304,独立董事,董事会成员
100211,202304,独立董事,董事会成员
100212,203044,"董事长,董事",董事会成员
100213,203044,"副董事长,董事",董事会成员
100214,203044,董事,董事会成员
100215,203044,董事,董事会成员
100216,203044,独立董事,董事会成员
100217,203044,独立董事,董事会成员
100218,203044,独立董事,董事会成员
100219,202367,"董事长,董事",董事会成员
100220,202367,董事,董事会成员
100221,202367,董事,董事会成员
100222,202367,董事,董事会成员
100223,202367,独立董事,董事会成员
100224,202367,独立董事,董事会成员
100225,202367,独立董事,董事会成员
100226,201687,"董事长,董事",董事会成员
100227,201687,"副董事长,董事",董事会成员
100228,201687,"副董事长,董事",董事会成员
100229,201687,董事,董事会成员
100230,201687,董事,董事会成员
100231,201687,董事,董事会成员
100232,201687,独立董事,董事会成员
100233,201687,独立董事,董事会成员
100234,201687,独立董事,董事会成员
100235,203505,"董事长,董事",董事会成员
100236,203505,董事,董事会成员
100237,203505,董事,董事会成员
100238,203505,董事,董事会成员
100239,203505,独立董事,董事会成员
100240,203505,独立董事,董事会成员
100241,203505,独立董事,董事会成员
100242,201915,"董事长,董事",董事会成员
100243,201915,"副董事长,董事",董事会成员
100244,201915,董事,董事会成员
100245,201915,董事,董事会成员
100246,201915,董事,董事会成员
100247,201915,董事,董事会成员
100248,201915,独立董事,董事会成员
100249,201915,独立董事,董事会成员
100250,201915,独立董事,董事会成员
100251,202270,"董事长,董事",董事会成员
100252,202270,董事,董事会成员
100253,202270,董事,董事会成员
100254,202270,董事,董事会成员
100255,202270,独立董事,董事会成员
100256,202270,独立董事,董事会成员
100257,202270,独立董事,董事会成员
100258,202854,"董事长,董事",董事会成员
100259,202854,董事,董事会成员
100260,202854,董事,董事会成员
100261,202854,独立董事,董事会成员
100262,202854,独立董事,董事会成员
100263,202666,"董事长,董事",董事会成员
100264,202666,"副董事长,董事",董事会成员
100265,202666,"副董事长,董事",董事会成员
100266,202666,董事,董事会成员
100267,202666,董事,董事会成员
100268,202666,董事,董事会成员
100269,202666,独立董事,董事会成员
100270,202666,独立董事,董事会成员
100271,202666,独立董事,董事会成员
100272,201375,"董事长,执行董事",董事会成员
100273,201375,"副董事长,非执行董事",董事会成员
100274,201375,执行董事,董事会成员
100275,201375,执行董事,董事会成员
100276,201375,执行董事,董事会成员
100277,201375,独立非执行董事,董事会成员
100278,201375,独立非执行董事,董事会成员
100279,201375,独立非执行董事,董事会成员
100280,201375,独立非执行董事,董事会成员
100281,202131,"董事长,董事",董事会成员
100282,202131,董事,董事会成员
100283,202131,董事,董事会成员
100284,202131,董事,董事会成员
100285,202131,董事,董事会成员
100286,202131,董事,董事会成员
100287,202131,独立董事,董事会成员
100288,202131,独立董事,董事会成员
100289,202131,独立董事,董事会成员
100290,201314,"董事长,董事",董事会成员
100291,201314,"副董事长,董事",董事会成员
100292,201314,董事,董事会成员
100293,201314,董事,董事会成员
100294,201314,董事,董事会成员
100295,201314,董事,董事会成员
100296,201314,董事,董事会成员
100297,201314,独立董事,董事会成员
100298,201314,独立董事,董事会成员
100299,201314,独立董事,董事会成员
100300,201314,独立董事,董事会成员
100301,202658,"董事长,董事",董事会成员
100302,202658,董事,董事会成员
100303,202658,董事,董事会成员
